DXCCSID,Region,Discharges,DischargesStdErr,MeanCharges,MeanLOS,MedianLOS,MedianCharges,MeanCost,MedianCost,MeanLOSStdErr,MeanChargesStdErr,MeanCostStdErr
653,0,110265,3047,32345,10,7,22121,9323,6566,0.162,698,178
653,1,23000,1155,39156,10.5,7,24430,11922,8248,0.348,2007,427
653,2,28595,1620,25160,9.1,7,19234,8333,6314,0.248,1009,287
653,3,45060,2139,27768,9.4,7,21114,7260,5586,0.234,779,178
653,4,13610,865,51920,12.9,6,33841,14092,8808,0.682,2545,722
654,0,1910,109,25730,7,3,15031,7809,4505,1.206,2046,823
654,1,385,48,36896,0,0,16589,12125,5786,0,7350,3180
654,2,445,49,18102,4.6,3,12337,5816,4261,0.716,1959,547
654,3,675,70,19885,5.3,3,14845,5767,4105,0.949,1633,791
654,4,405,47,33737,7.6,3,19803,9392,5125,1.888,5496,1848
655,0,4605,348,28318,8.8,6,16848,8246,4864,0.593,1991,608
655,1,1410,201,37838,12.1,7,20923,10563,5789,1.328,5010,1492
655,2,1355,209,25787,7.8,6,17689,8281,5098,0.915,3301,1200
655,3,1270,161,20876,7.3,5,14413,5706,3882,0.79,1826,479
655,4,570,105,27428,6.6,5,17040,8106,4978,0.668,3640,1002
656,0,9240,954,19439,8.1,5,12964,5670,3778,0.5,1014,325
656,1,2920,384,24308,9.4,6,15342,6386,4352,1.168,2519,460
656,2,3020,798,18699,8.2,5,13815,6222,4501,0.702,1422,691
656,3,2810,343,14394,6.8,5,11139,4109,2871,0.645,847,265
656,4,490,91,23964,7.4,3,12554,6995,3025,1.32,4354,1276
657,0,851074,26499,19141,6.7,5,12657,5412,3712,0.089,418,106
657,1,190650,10395,26840,8.4,6,16212,7664,5171,0.184,1304,288
657,2,241995,14639,15318,6.2,5,11325,4735,3510,0.123,510,141
657,3,311655,17630,15824,6,5,11506,4194,3082,0.148,481,139
657,4,106774,8308,23802,6.6,5,15696,6501,4410,0.249,1095,286
658,0,6215,564,18155,6.2,4,11448,5818,3646,0.295,918,333
658,1,1360,155,23436,7.3,5,14330,7837,4881,0.805,2536,945
658,2,2380,499,16139,5.9,4,11157,5620,3924,0.379,1046,508
658,3,1740,179,15226,5.6,4,10160,4211,2963,0.405,1229,341
658,4,735,114,21978,6.6,3,12007,6550,3443,1.165,3587,1107
659,0,388835,14156,29369,10.5,7,17786,8347,5054,0.214,849,231
659,1,90665,5451,44652,15.1,10,26333,13169,8173,0.45,2524,623
659,2,85875,5853,21563,9.4,7,15144,6834,4827,0.34,930,280
659,3,135805,8514,21453,8.4,6,15213,5553,3873,0.188,649,162
659,4,76489,7997,33962,9.8,6,19679,9266,5266,0.548,2173,610
660,0,344395,8260,29163,4.8,3,16266,7914,4821,0.069,600,139
660,1,97880,5997,27765,5.3,4,14694,7861,4935,0.137,1347,256
660,2,78610,3123,22520,4.3,3,13708,6903,4329,0.1,706,195
660,3,104335,3890,27698,4.6,3,15924,7115,4260,0.073,884,243
660,4,63570,2715,42308,5.1,3,25068,10641,6459,0.252,1788,443
661,0,217050,9020,21621,5,3,12193,6014,3631,0.154,625,163
