RegionType,RegionID,CatID,CatVal,Year,Population
1,62,2,2,2012,135547
1,62,4,1,2012,183517
1,62,4,2,2012,3350
1,62,4,3,2012,69068
1,62,4,4,2012,5408
1,62,4,5,2012,5144
1,62,4,6,2012,6442
1,65,0,0,2012,1554853
1,65,1,1,2012,351104
1,65,1,2,2012,620335
1,65,1,3,2012,407024
1,65,1,4,2012,176390
1,65,2,1,2012,762077
1,65,2,2,2012,792776
1,65,4,1,2012,535900
1,65,4,2,2012,184912
1,65,4,3,2012,344841
1,65,4,4,2012,418917
1,65,4,5,2012,4386
1,65,4,6,2012,65897
1,69,0,0,2012,354886
1,69,1,1,2012,73458
1,69,1,2,2012,106056
1,69,1,3,2012,93962
1,69,1,4,2012,81410
1,69,2,1,2012,179427
1,69,2,2,2012,175459
1,69,4,1,2012,213108
1,69,4,2,2012,10375
1,69,4,3,2012,109374
1,69,4,4,2012,13059
1,69,4,5,2012,1698
1,69,4,6,2012,7272
1,73,0,0,2012,347273
1,73,1,1,2012,74548
1,73,1,2,2012,115541
1,73,1,3,2012,101484
1,73,1,4,2012,55700
1,73,2,1,2012,172184
1,73,2,2,2012,175089
1,73,4,1,2012,279584
1,73,4,2,2012,3585
1,73,4,3,2012,31209
1,73,4,4,2012,9019
1,73,4,5,2012,11627
1,73,4,6,2012,12249
1,77,0,0,2012,2586936
1,77,1,1,2012,640026
1,77,1,2,2012,940589
1,77,1,3,2012,676167
1,77,1,4,2012,330154
1,77,2,1,2012,1273440
1,77,2,2,2012,1313496
1,77,4,1,2012,1469920
1,77,4,2,2012,155543
1,77,4,3,2012,544697
1,77,4,4,2012,298262
1,77,4,5,2012,15720
1,77,4,6,2012,102794
1,78,0,0,2012,401764
1,78,1,1,2012,108237
1,78,1,2,2012,157533
1,78,1,3,2012,92514
1,78,1,4,2012,43480
1,78,2,1,2012,206290
1,78,2,2,2012,195474
1,78,4,1,2012,134538
1,78,4,2,2012,11340
1,78,4,3,2012,219204
1,78,4,4,2012,26622
1,78,4,5,2012,1136
1,78,4,6,2012,8924
1,79,0,0,2012,3126012
1,79,1,1,2012,908452
1,79,1,2,2012,1200794
1,79,1,3,2012,715488
1,79,1,4,2012,301278
1,79,2,1,2012,1545606
1,79,2,2,2012,1580406
1,79,4,1,2012,1058980
1,79,4,2,2012,256988
1,79,4,3,2012,1529426
1,79,4,4,2012,192753
1,79,4,5,2012,11942
1,79,4,6,2012,75923
1,80,0,0,2012,3652420
1,80,1,1,2012,900196
1,80,1,2,2012,1453951
1,80,1,3,2012,888935
1,80,1,4,2012,409338
1,80,2,1,2012,1826440
1,80,2,2,2012,1825980
1,80,4,1,2012,1671634
1,80,4,2,2012,163062
1,80,4,3,2012,1323996
1,80,4,4,2012,373383
1,80,4,5,2012,13668
1,80,4,6,2012,106677
1,81,0,0,2012,1447449
1,81,1,1,2012,256885
1,81,1,2,2012,594967
1,81,1,3,2012,397817
1,81,1,4,2012,197780
1,81,2,1,2012,721067
1,81,2,2,2012,726382
1,81,4,1,2012,625094
1,81,4,2,2012,121577
1,81,4,3,2012,275604
1,81,4,4,2012,367383
1,81,4,5,2012,3857
1,81,4,6,2012,53934
1,82,0,0,2012,1769020
1,82,1,1,2012,427525
1,82,1,2,2012,701465
1,82,1,3,2012,446550
1,82,1,4,2012,193480
1,82,2,1,2012,888053
1,82,2,2,2012,880967
1,82,4,1,2012,608288
1,82,4,2,2012,40763
1,82,4,3,2012,502555
1,82,4,4,2012,559225
1,82,4,5,2012,4239
1,82,4,6,2012,53950
1,83,0,0,2012,246807
1,83,1,1,2012,48223
1,83,1,2,2012,90473
1,83,1,3,2012,69878
1,83,1,4,2012,38233
1,83,2,1,2012,127058
1,83,2,2,2012,119749
1,83,4,1,2012,178020
1,83,4,2,2012,5438
1,83,4,3,2012,47696
1,83,4,4,2012,8851
1,83,4,5,2012,1172
1,83,4,6,2012,5630
1,85,0,0,2012,799261
1,85,1,1,2012,175081
1,85,1,2,2012,296596
1,85,1,3,2012,218414
1,85,1,4,2012,109170
1,85,2,1,2012,394130
1,85,2,2,2012,405131
1,85,4,1,2012,351835
1,85,4,2,2012,21273
1,85,4,3,2012,187885
1,85,4,4,2012,208820
1,85,4,5,2012,1194
1,85,4,6,2012,28254
1,86,0,0,2012,443141
1,86,1,1,2012,107727
1,86,1,2,2012,172541
1,86,1,3,2012,104962
1,86,1,4,2012,57911
1,86,2,1,2012,222108
1,86,2,2,2012,221033
1,86,4,1,2012,215777
1,86,4,2,2012,7228
1,86,4,3,2012,187401
1,86,4,4,2012,20919
1,86,4,5,2012,2293
1,86,4,6,2012,9523
1,87,0,0,2012,276598
1,87,1,1,2012,62576
1,87,1,2,2012,106000
1,87,1,3,2012,77133
1,87,1,4,2012,30889
1,87,2,1,2012,138099
1,87,2,2,2012,138499
1,87,4,1,2012,157769
1,87,4,2,2012,2729
1,87,4,3,2012,96335
1,87,4,4,2012,11300
1,87,4,5,2012,735
1,87,4,6,2012,7730
1,89,0,0,2012,488088
1,89,1,1,2012,107555
1,89,1,2,2012,168366
1,89,1,3,2012,142915
1,89,1,4,2012,69252
1,89,2,1,2012,240143
1,89,2,2,2012,247945
1,89,4,1,2012,323597
1,89,4,2,2012,7083
1,89,4,3,2012,120930
1,89,4,4,2012,20680
1,89,4,5,2012,3619
1,89,4,6,2012,12179
1,91,0,0,2012,591836
1,91,1,1,2012,171223
1,91,1,2,2012,218824
1,91,1,3,2012,139346
1,91,1,4,2012,62443
1,91,2,1,2012,295122
