MDCID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MeanCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges ,MedianCost,MedianLOS 
21,1,100565.0216,2839.979423,40337,2024.585533,10624,329.7308801,4.197037231,0.07531589,20105,5988,3
21,2,123734.9259,2979.815064,29568,761.5155764,9404,225.6401018,3.716369486,0.058634322,16343,5360,2
21,3,206509.8729,3947.259295,35395,785.7441479,9155,192.1019134,4.059177735,0.042805131,19161,5166,2
21,4,107684.8246,2588.499118,50140,1669.503061,12785,363.1692478,3.785209344,0.064642039,27404,7217,2
22,0,31534.98772,3286.69615,105886,7089.93331,28906,1878.614351,8.569210042,0.36644587,34599,8800,4
22,1,5425.010827,1002.988649,111024,14770.32743,26470,3344.895267,9.147469772,0.844538028,40185,10136,5
22,2,6404.985916,824.3200956,77778,8177.415392,26837,3561.479098,7.851674468,0.513818887,27225,8417,4
22,3,13494.98037,2836.07186,94518,11460.00466,24860,2729.196153,7.871804955,0.601191276,33486,7178,3
22,4,6210.010603,1036.136158,154058,20000.40898,41987,4655.993105,10.31964311,0.717757407,48606,13707,6
23,0,584289.445,13704.47707,40898,808.63829,11687,216.8248283,10.05429438,0.10874927,28193,8445,8
23,1,101044.9637,6170.224666,45553,2203.818551,12784,491.7881652,9.675001502,0.27626535,30890,9305,8
23,2,162444.7202,6334.929292,32019,728.1821897,11144,208.1310015,9.809929384,0.153956547,24435,8596,8
23,3,212504.7994,8909.364535,35774,969.2897299,9608,190.7066868,9.978510666,0.182724117,26214,7384,8
23,4,108294.9617,5498.446495,60262,2806.875305,15667,921.0621798,10.92463808,0.311664525,40112,10188,8
24,0,81294.94092,4063.996493,127864,3326.19928,33626,600.2023073,8.821801351,0.146731653,81143,22240,6
24,1,12565.01296,961.8740095,124130,7460.32875,31099,1040.702229,8.975331308,0.297414977,77833,20871,6
24,2,16169.96597,1064.75811,98632,2921.957721,30490,787.8266991,7.918030978,0.152540224,66303,20471,6
24,3,34464.9562,3571.718145,119722,4614.441291,30909,833.9001048,8.952987276,0.292265041,79531,21274,6
24,4,18095.0058,1303.834937,173107,9690.18954,43682,1689.213154,9.272735177,0.251548063,104462,28020,6
25,0,52989.94752,1773.66639,71078,1984.914844,18443,346.296533,9,0.157199642,37871,10351,5
25,1,12804.99636,1021.051213,74573,4388.946484,19131,710.2588312,9.004297637,0.262489927,39489,11357,6
25,2,6484.996145,467.9552806,55833,3307.541354,17290,935.0213948,7.309945283,0.229802627,30540,9401,5
25,3,25334.96222,1259.068022,62875,1949.368311,16555,388.8661563,8.656009861,0.210638298,35378,9593,6
25,4,8364.992796,546.9117434,103532,7571.340427,24257,1202.867258,9.315144644,0.614575752,52315,13115,5
0,0,35575336.82,507721.7131,47005,1114.7114,12766,268.2034135,5.225337321,0.064065576,25477,7229,3
0,1,6729554.999,234805.5085,49069,2605.2466,12956,520.1933368,5.567237923,0.142840228,24867,7390,3
0,2,7997451.972,220672.6583,37555,1389.5071,12127,452.176211,4.898371716,0.102050007,21611,7249,3
0,3,13807431.03,328593.4734,42876,1454.9059,11297,365.5170737,5.200156775,0.09809574,24810,6591,3
0,4,7040898.812,205089.3659,64380,3564.3839,16408,821.9560955,5.246561016,0.158959771,33603,8574,3
