DRGID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MeanCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MedianCost,MedianLOS
237 ,4,8340.013522,328.33951,218638.6309,9298.105181,55095.6612,2583.36664,10.67565476,0.46422799,152965,38247.66,7
238 ,0,74109.9914,1520.645491,89714.48412,1149.97933,25158.10097,249.894868,4.272635348,0.051567516,75464,22293.878,3
238 ,1,13839.98681,717.9598904,85924.84988,3456.320655,24111.71268,718.972271,4.377529049,0.139525638,70375,21082.875,3
238 ,2,18484.98441,803.3500445,80590.2749,1692.070492,25592.46936,436.3082791,4.253721166,0.11471587,70994,23006.446,3
238 ,3,29759.99853,931.7795589,87963.06571,1640.345766,23906.62975,342.3013421,4.352821994,0.07349934,74554,21408.849,3
238 ,4,12025.02165,532.270482,113583.7071,3276.323708,29069.78257,694.0421325,3.982535784,0.10684311,96170,25977.959,3
239 ,0,14384.99989,271.4902793,127439.5059,2966.681334,33461.6125,643.5217423,14.5272864,0.229498306,85328,23641.332,11
239 ,1,2654.996359,106.1879365,156548.1507,9051.272725,38247.2259,1587.36469,17.06968421,0.668334611,104357,27892.932,14
239 ,2,2769.998872,109.2725948,104268.3248,3911.270437,33848.84885,1556.349913,13.60289549,0.437326746,78527,23922.039,11
239 ,3,6690.001801,201.464667,111923.1186,3371.426913,29069.73682,723.5807025,14.15396009,0.307373849,76998,20814.95,11
239 ,4,2270.002863,99.51171733,169980.5238,10383.80851,41029.51335,2168.468177,13.7819387,0.623429946,110929,26815.545,10
240 ,0,16815.00401,310.8047058,73017.51701,1499.306763,20032.03958,351.8079013,9.548618585,0.129376769,50466,14590.652,8
240 ,1,3099.996758,130.2866337,83172.16695,4206.384482,22874.72291,1043.119666,10.86613259,0.393761538,58759,16735.86,9
240 ,2,3439.997603,133.3308209,61776.2722,2278.462527,19879.36531,662.8757524,8.598846213,0.215955398,44199,14968.814,7
240 ,3,7615.005311,220.2544607,64052.93433,1787.065587,17181.99807,399.3782897,9.455676727,0.178175711,45294,12926.498,8
240 ,4,2660.004335,115.4808338,103230.0141,5387.72466,25519.9326,1126.407986,9.507520268,0.342970038,73122,18802.704,8
241 ,0,2329.999944,108.6707439,45215.67976,2114.29842,12731.28466,535.8379981,6.25107283,0.193823815,30737,9226.334,5
241 ,1,339.9996724,42.27688068,50260.22619,5438.891891,14426.48764,1285.842099,6.85293704,0.536572225,37746,12156.265,5
241 ,2,464.9986297,47.37604025,38240.00811,3880.532569,13003.00105,1111.95534,5.698926973,0.38591078,27874,10117,5
241 ,3,1255.001216,80.22555813,43350.68329,2739.597233,11720.56259,727.4667413,6.374501673,0.267728057,30124,8600.605,5
241 ,4,270.0004256,36.62467172,59792.67462,8650.630717,14898.22258,1810.141779,5.87037004,0.58883985,35515,10991.168,5
242 ,0,26749.99311,498.2577504,99011.49404,1586.862252,27002.30074,383.3066343,7.555887979,0.100651157,77623,21898.62,6
242 ,1,5509.991237,203.2630767,100698.6925,4017.62031,28446.50481,955.554185,8.286753457,0.250714708,73220,22788.378,6
242 ,2,6399.993822,224.1510672,81115.6398,2259.394925,26145.3263,722.7275594,7.060939503,0.196235109,66952,21698.04,6
242 ,3,9885.002531,351.9263524,94858.81184,2421.811249,24569.70606,486.2751815,7.765806593,0.155747425,78058,20638.035,6
242 ,4,4955.005518,181.2430663,129035.3963,4290.004703,31528.31962,1114.722885,6.963670431,0.23351542,97507,24557.5,5
243 ,0,51189.99453,894.857784,71743.17957,909.9159263,19282.55711,176.9732421,4.539754259,0.039662798,60401,17137.296,4
243 ,1,10894.98504,384.2737795,73917.89744,2338.352289,20035.93177,383.6128142,5.223956132,0.099269637,58879,17792.082,4
243 ,2,11969.98825,428.3240729,59906.79251,1195.261424,19019.84322,289.6570725,4.356308765,0.076676681,52875,17010.812,4
243 ,3,18740.0087,592.6411767,69789.06298,1471.744818,18071.91068,306.4823019,4.588314087,0.063933608,60377,16281.477,4
243 ,4,9585.012543,344.1206768,88580.25717,2300.320367,21251.00095,441.508333,3.896193249,0.076888728,75704,18749.077,3
244 ,0,49189.99295,919.4229619,57097.43315,663.7887038,15421.59992,132.781727,2.854441968,0.025009778,49533,14142.045,2
244 ,1,10619.98285,456.7345519,56109.35055,1771.39563,15563.65833,295.6569161,3.059792092,0.063764688,45395,14237.484,2
244 ,2,10909.9894,436.1034652,48277.25898,929.0171813,15506.29468,240.8511551,2.783685608,0.052343703,43442,14244.224,2
244 ,3,18130.00991,557.9739446,56421.04342,1007.568909,14524.96724,229.6180838,2.96773304,0.039245404,50443,13288.05,2
244 ,4,9530.010799,367.7104522,70056.72955,1585.795207,16978.64012,296.294945,2.491081213,0.045724463,61917,15635.838,2
245 ,0,4100.003699,184.7237092,122199.7376,3112.266161,31140.45583,708.4613574,4.196342555,0.154069487,105752,27773.04,3
245 ,1,1025.000133,128.6838765,137243.2274,8969.044697,33397.86048,1930.752261,4.512197637,0.386902456,118174,28845.341,3
245 ,2,765.0009579,60.11231169,104576.627,5818.640545,32617.86367,1632.753117,4.215692013,0.318575369,90359,28196.608,3
245 ,3,1695.001938,102.1900526,113241.1465,3802.154666,28760.99247,916.4915679,4.321534136,0.230021092,103963,26193.235,3
245 ,4,615.0006705,59.22002865,143368.0999,6685.547019,32296.30761,1301.290178,3.300808852,0.288242191,129712,30392.224,2
246 ,0,64519.99609,1636.075853,97677.67679,1421.410178,25793.1453,249.8343251,4.939166685,0.05243946,81165,22486.85,4
246 ,1,10354.99086,690.0543102,99113.12775,4216.082792,25989.25069,672.4611081,5.097538211,0.155061324,81343,22691.76,4
246 ,2,15224.98766,671.5719546,80572.00559,1653.432078,25551.92213,405.3420835,4.648933202,0.096339775,69474,22512.928,3
246 ,3,26620.00393,1143.895222,92577.82709,1879.56892,23824.57416,333.9587702,5.209616533,0.079847617,79786,20949.975,4
246 ,4,12320.01364,664.1265524,129374.3937,3948.557012,30408.83986,709.5197386,4.58035941,0.114751389,107872,26161.864,3
247 ,0,295219.988,7263.240493,65650.70584,846.6488245,17688.34906,171.318399,2.352296591,0.018634069,57746,16331.598,2
247 ,1,53889.96424,3694.069251,63621.31653,2556.091629,17313.33045,517.1521302,2.354425278,0.064142072,54528,15768.03,2
247 ,2,72899.92615,3134.556331,55721.63526,1041.002972,17899.05205,299.2449628,2.245473413,0.026216191,50573,16509.129,2
247 ,3,117795.0411,4724.884757,64665.42021,1217.693539,16684.32835,241.972065,2.49823836,0.027173586,58764,15607.504,2
247 ,4,50635.0565,2637.903611,84590.70215,2156.170219,20250.24389,402.2875554,2.164313589,0.038332062,76100,18749.935,2
248 ,0,24214.99591,635.7482892,92659.46231,1481.941248,24999.39865,294.3865394,5.880652955,0.082617637,75003,21192.292,4
248 ,1,4209.994738,246.1470764,96199.07712,3857.743641,26398.72844,769.26288,6.384797521,0.206731339,76412,22107.293,5
248 ,2,5979.99717,275.696332,79974.37075,2040.018932,24867.94165,453.0376939,5.752509148,0.156266062,67185,21775.143,4
248 ,3,10355.0009,479.4949182,88153.25191,2010.58542,22856.76408,400.5398957,5.934332567,0.131683949,73093,19611.221,4
248 ,4,3670.003103,194.0712752,121486.7264,4960.401123,29736.92036,911.4152382,5.359672798,0.19653653,96438,24948.885,4
249 ,0,73564.99504,1908.428291,61118.6307,802.538782,16584.99995,155.1642455,2.741435478,0.024557367,53653,15355.458,2
249 ,1,13159.98835,779.5655011,61616.31087,2265.852655,17224.53751,520.6536919,3.002659128,0.06449691,51546,15561.312,3
249 ,2,18329.98825,865.3292923,53176.59268,1151.957529,16764.91122,254.77756,2.607747191,0.038129065,48248,15687.056,2
249 ,3,31370.00566,1400.078273,60276.10817,1220.492182,15487.30046,205.2734234,2.802518204,0.043576808,54081,14536.704,2
249 ,4,10705.01278,570.405311,76178.87415,2052.240686,18774.60685,346.0703088,2.470093659,0.043159132,68676,17284.414,2
250 ,0,17570.00937,491.929515,101670.2975,2224.034613,27059.8852,470.4923724,6.894139635,0.131394063,78813,21844.75,5
250 ,1,3379.999826,239.8505188,114681.7957,7640.909004,29597.87875,1489.787471,7.670120982,0.390985454,84781,23650.323,5
250 ,2,4080.001635,230.038387,79842.15706,2689.216543,25037.93576,663.705614,6.580886861,0.254274859,65421,21105.036,5
250 ,3,7230.005577,318.348726,96097.04998,2716.208847,24982.76161,615.0726886,6.98755311,0.183946608,77652,20368.026,5
250 ,4,2880.002336,173.7895436,130307.3582,5534.762777,32112.71235,1255.869873,6.192707932,0.276534982,101774,25153.341,4
251 ,0,79080.04213,2766.83008,73119.09216,2040.425949,19236.26929,356.8514648,2.68961864,0.037310622,63513,17154.15,2
251 ,1,17250.00265,1521.130453,77816.36606,7730.461466,19795.59123,1188.387932,2.870145003,0.099422553,63838,17330.06,2
251 ,2,18645.00162,1336.610375,61964.21035,1859.710036,18983.17894,390.4879516,2.548941176,0.069254372,55039,17590.881,2
251 ,3,30015.0375,1615.657695,70535.3622,2026.613783,17881.01036,380.4439944,2.856738494,0.061421482,62612,15883.035,2
251 ,4,13170.00036,971.9227096,88775.06953,3395.125672,22065.80773,958.7698435,2.271451802,0.068614033,79489,19565.25,2
252 ,0,57395.00904,1009.463872,95042.80014,1541.46703,24961.31031,299.5577941,8.039898584,0.090509256,66926,18458.31,6
252 ,1,11109.98755,407.838133,105039.1619,4865.066319,27121.56769,692.2634322,9.549505644,0.277321547,70078,19492.704,7
252 ,2,12290.00529,453.0678917,78408.91582,1867.58088,24490.90694,549.1032908,7.423925593,0.151694684,60500,18632.34,6
252 ,3,23850.0047,689.4139619,87858.52845,1983.869207,22741.59238,450.4829443,8.072326099,0.133976844,63496,17082.45,6
252 ,4,10145.01151,414.87738,121584.812,4154.219838,28551.03061,819.4568547,7.056676368,0.183794997,84669,21291.399,5
253 ,0,75469.99777,1350.666595,76072.62179,1034.117947,20597.51902,202.1259615,5.840267514,0.055017594,59671,17234.36,5
253 ,1,15259.97647,599.2519078,77178.35911,2908.594476,20440.1414,440.424973,6.364679561,0.139145826,57734,17255.871,5
253 ,2,18415.00093,711.710174,66033.74879,1343.584702,20948.70705,414.1286237,5.411893156,0.106559159,54091,17443.294,4
253 ,3,30045.00108,833.9046599,72770.4875,1532.533627,18945.59564,280.8489068,6.058911547,0.085629944,57724,16066.072,5
253 ,4,11750.01928,513.0975033,99513.63045,3113.233042,24737.9446,650.2111745,5.271488743,0.119941903,78832,20408.942,4
254 ,0,59429.99715,1479.21958,52549.43506,752.5738506,14437.97417,154.4291515,2.739861603,0.037529786,42161,12216.54,2
254 ,1,11769.98728,700.3301922,47958.41371,1848.15175,13454.32673,324.6291956,2.80586204,0.097188314,38115,11319.789,2
254 ,2,14924.99113,808.8916442,47619.97237,1040.146546,15256.82463,317.2616201,2.522948388,0.077334306,40098,13006.5,2
254 ,3,24240.00648,939.7470726,52003.9132,1168.153183,13568.0518,234.805976,2.885725508,0.056094725,41820,11499.304,2
254 ,4,8495.012259,400.2473419,69648.9336,2300.790545,17035.76963,381.8241784,2.613300454,0.073570775,57339,14706.75,2
255 ,0,3614.999871,124.4335984,74031.4159,3416.273952,19232.06737,895.6344599,9.450902187,0.3222399,50111,13914.888,7
255 ,1,709.9995428,51.33296287,87008.18307,7211.258515,20903.01222,1394.395219,10.86619706,0.722501074,60547,16095.68,8
255 ,2,629.999007,50.69670659,59521.0017,4637.083167,18469.39881,1329.893291,9.53175172,0.668586312,47068,14035.653,8
255 ,3,1599.999791,85.91927324,61203.82322,3505.402118,16130.91529,820.6242803,8.787504955,0.420678709,44339,12490.705,7
255 ,4,675.00153,53.81793166,107527.7433,14130.80792,26274.04048,4185.985154,9.459260089,0.984728265,60673,16417.141,7
256 ,0,7030.002335,166.7781731,44450.35999,1048.812787,12161.48465,234.2324944,6.7823626,0.127859052,33891,10038.321,6
256 ,1,1444.997598,73.41075102,48250.74938,2720.154694,12771.42734,502.7389643,7.193771971,0.279793613,34311,10332.774,6
256 ,2,1224.998018,68.05128763,36604.94224,1757.646924,12395.86351,644.4429015,6.346945555,0.305760723,29910,10207.676,5
256 ,3,3095.003379,107.160033,40674.20075,1440.703945,10951.57911,299.3846579,6.966076907,0.191784296,30735,9196.928,6
256 ,4,1265.003339,79.44539147,57871.50983,2858.560009,14405.5479,651.1441989,6.284579775,0.302459627,46466,11807.28,5
257 ,0,744.9994346,59.8085526,29656.34264,2112.278258,8076.85887,429.0404447,4.40268029,0.279035376,21627,6405.532,4
257 ,1,134.9999388,24.90558809,35650.24301,6749.540351,8305.776282,1036.210215,4.481480853,0.67911082,20311,6262.992,4
257 ,2,189.9997749,30.05755254,22659.72946,2476.775607,7592.857637,838.6861457,4.105251209,0.502330261,19809,6446.808,4
257 ,3,304.9996001,38.63435589,27559.74601,2744.725843,7801.89996,590.4880427,4.754096117,0.480553268,20488,5994.945,4
257 ,4,115.0001208,23.67920452,40652.75992,6933.114744,9444.887132,1381.619555,3.869565204,0.545680032,34159,6746.523,3
258 ,0,959.9995572,66.53498366,86204.55787,10087.05284,22767.04198,2827.125184,6.963545478,1.230495264,59366,16678.44,5
258 ,1,249.9992733,34.40123565,66572.49643,6011.976121,18879.10901,1525.788243,5.820000374,0.562730513,50521,16805.425,4
258 ,2,219.9998261,31.73718967,62924.87005,4681.754966,18234.00179,1386.111302,5.590919878,0.746259371,55237,15309.774,4
258 ,3,355.000315,39.89871022,111518.5413,25576.76011,28743.78069,7251.868205,0,0,65743,16424.73,0
258 ,4,135.0001428,25.38311941,91755.44035,9774.972704,21003.11433,1702.147135,3.925925974,0.576225824,83594,19494.684,3
259 ,0,4489.99935,183.4891658,51499.16243,1156.478333,13507.07043,282.3037969,3.298440531,0.108151727,44673,12200.226,2
259 ,1,1239.998426,136.574648,50009.18667,2613.445493,13615.14962,742.3542254,3.419354569,0.263116433,41606,11844.238,2
259 ,2,819.9993434,58.86728714,44944.91054,1865.993684,14079.39605,462.733942,3.164629358,0.182165339,40286,13096.902,3
259 ,3,1730.001392,93.0180168,49819.43015,1404.854749,12283.75854,314.8404549,3.364161675,0.1492136,45636,11424.45,3
259 ,4,700.0001878,53.83243035,66914.49832,3804.037559,15906.91368,737.6736469,3.07857514,0.299341166,58767,14910.12,2
260 ,0,3145.001399,136.3224158,112298.0737,5135.916462,28885.87665,968.6533703,10.70428865,0.363241803,81051,23204.34,8
260 ,1,594.9997312,61.69693608,151179.7096,17888.79381,34887.22207,2653.980891,13.03360936,1.079597838,93947,28562.39,10
260 ,2,745.0005996,68.38846095,94936.27089,6904.518083,28787.99042,1794.455547,10.88590624,0.717648556,74749,22797.528,9
260 ,3,1304.999929,85.52122062,96653.51824,6037.81299,25335.85827,1193.204859,10.62451866,0.491049589,70005,21087.66,9
260 ,4,500.0011387,52.78663042,131953.9542,12008.51472,31241.06921,2965.50895,7.869993953,0.632944694,94684,23597.819,6
261 ,0,6255.001111,199.4858997,50942.41067,1358.952741,13733.90606,338.8680809,4.314947792,0.111762077,39436,11127.853,3
261 ,1,1084.999394,76.11085078,57968.40496,4102.825158,14778.00835,935.2457132,4.359448424,0.257903448,41210,11665.192,3
261 ,2,1500.000442,97.97751289,43817.39345,2223.860035,13791.77027,734.5788089,4.216665799,0.255288604,35571,11359.74,3
261 ,3,2599.999983,132.8608457,47759.33685,1677.47446,12882.46065,447.8609367,4.571153859,0.174531747,39390,10752.535,4
