DXCCSID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MeanCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MedianCost,MedianLOS
50,3,222709.7762,3809.303923,32933.14111,601.1132488,8479.150128,126.9683676,4.669174332,0.040582353,19826,5491.187,3
50,4,99924.83732,2347.424834,48269.00774,1388.538298,11846.47077,288.7050124,4.289782402,0.06327222,29408,7513.086,3
51,0,54569.97045,845.5013287,35338.83736,679.6068028,9550.611063,165.9835152,4.628516139,0.055724212,23643,6841.73,3
51,1,11530.00872,528.1182419,39858.34643,2020.341744,10602.43187,491.3247757,5.046835359,0.184528578,25194,7352.64,4
51,2,12369.99612,360.5302804,28124.31685,862.0922554,9054.403006,250.4621155,4.437348769,0.089990627,19945,6584.378,3
51,3,19539.98464,446.870765,31501.36856,712.9073777,8326.894056,202.416437,4.713591273,0.07378246,21808,6036.03,3
51,4,11129.98096,326.0184897,45977.47331,1855.855278,11267.59549,418.4386331,4.258306513,0.109129565,32158,8120.15,3
52,0,10159.99113,323.7281614,46261.65973,2162.446241,13773.5336,700.0171114,7.805612767,0.308023918,27309,8447.504,5
52,1,2065.002769,142.3041755,54093.93927,4574.499553,15763.78196,1452.475997,8.237299236,0.524095127,32608,9674.159,6
52,2,2439.997417,159.1215781,39192.18085,5214.656604,13700.11995,2034.638762,6.963112575,0.468519344,23162,8048.568,5
52,3,3729.994608,195.3605091,39572.09366,3022.340065,11721.39757,902.7943177,8.315013207,0.669237603,24138,7199.088,5
52,4,1924.996336,145.1345548,60102.33395,5054.378316,15778.95342,1210.073525,7.423380167,0.549414869,35047,10108.309,5
53,0,719.9991957,61.64134993,35977.92557,6024.168716,10327.2194,1273.37184,4.270833259,0.371339681,21688,6336.576,3
53,1,150.0000841,26.98540327,0,0,20942.26564,5141.769661,7.466681008,1.283602315,0,12951.45,7
53,2,190.000202,32.79903324,23648.65764,3570.586509,9629.272801,1440.226703,3.973674795,0.502315314,17316,7111.275,3
53,3,254.9990897,35.26301271,21873.23568,2120.692319,6165.093944,568.7208844,3.176468005,0.282986115,18583,5148.518,3
53,4,124.9998199,27.4260348,26141.8606,3382.168552,7007.967476,1137.886017,3.119990645,0.810684481,19874,6737.466,2
54,0,16309.98349,343.7787621,24136.65719,490.438618,6757.50954,109.3826963,3.87185814,0.052471463,17411,5192.568,3
54,1,4460.000548,188.1298362,28124.98703,1198.750618,7466.691295,243.0309474,4.10762225,0.103080868,19432,5745.98,3
54,2,3739.995797,169.8599814,19187.38735,610.2841137,6208.613896,174.8589764,3.692514597,0.109834536,14869,4973.5,3
54,3,5424.991697,190.7007693,21084.70865,645.1908339,5981.271897,153.1377014,3.960368843,0.089058362,15804,4653.968,3
54,4,2684.995447,132.5586864,30757.77125,1383.979709,7961.929038,333.4951436,3.551211862,0.125593647,23631,6120.392,3
55,0,407104.6844,4284.746623,23144.44343,304.2872995,6401.697833,89.22514597,3.353786992,0.021320413,14894,4465.92,2
55,1,77144.9962,2050.619294,25865.28013,788.6420515,7039.519338,145.3567976,3.655107693,0.062547705,15775,4842.549,3
55,2,92929.95522,1967.575851,17957.64721,352.4902893,6079.21037,99.8994901,3.234369268,0.04145879,12411,4400.704,2
55,3,165074.8471,2811.317091,20883.97908,326.1045419,5527.470528,78.13815205,3.396274111,0.031861694,13985,3958.85,2
55,4,71954.88592,1542.451172,32421.64437,1179.711494,8224.008777,432.6477695,3.087491245,0.040999956,21333,5499,2
56,0,12589.98165,1139.992416,94664.13273,5553.489692,28464.68196,1194.17274,10.32366953,0.264369964,58206,19169,9
56,1,2265.001563,475.6735333,87414.56986,12464.93541,24001.83813,1972.495759,9.571744953,0.406095342,54232,17683.044,8
56,2,3119.992002,512.2800138,74091.19453,4462.700929,26581.37926,1719.38122,9.91025142,0.434631291,53027,18494.518,8
56,3,4374.991915,693.4426496,85592.97879,7195.692323,26053.57047,2031.948344,10.27314782,0.491166296,49383,15515.507,9
56,4,2829.996166,574.4770474,137451.3886,16816.60728,37954.54975,2966.704171,11.45936141,0.596116582,99851,28894.495,11
57,0,1804.99907,124.0491313,137772.677,21580.3314,42523.07333,7962.796854,12.29086143,1.556837149,37427,10872.939,5
57,1,315.0004909,60.02733538,0,0,0,0,0,0,0,0,0
57,2,400.0001069,60.78231261,0,0,0,0,11.68749397,2.711241332,0,0,4
57,3,684.999713,69.18099636,131868.5223,33690.18751,37381.33486,11102.90955,12.54742609,2.419837815,31851,9528.327,5
57,4,404.9987592,57.48396468,0,0,0,0,12.11113079,2.618888764,0,0,4
58,0,206764.9594,5971.327892,45114.9372,899.2219684,12204.01505,203.8009936,3.025149948,0.049449169,35937,10301.819,2
58,1,51410.00367,2785.204507,41981.51015,1619.200294,11382.71409,334.0879399,3.12594768,0.098182404,31771,9587.736,2
58,2,41615.00317,2371.013049,37305.51862,1244.015542,12145.77334,341.1860626,3.134925923,0.094521435,31560,10644.095,2
58,3,76394.98773,3902.459066,45348.07586,1490.954061,11923.39725,391.9382419,2.952744104,0.08348287,37681,10218.384,2
58,4,37344.9648,2654.901695,58841.07839,2847.956311,14189.54848,525.8250781,2.912148749,0.121532321,45479,11327.607,2
59,0,200319.8368,2232.312945,30580.26867,474.840169,8237.143331,119.3352773,3.618525866,0.030118356,18880,5516.771,2
59,1,40574.99014,1101.07476,34091.22275,1116.122015,8892.001726,220.0732254,3.872333911,0.066103134,20838,6139.166,3
