StateCountyFips,CatID,CatVal,Year,Population
1045,4,4,2012,633
1045,4,5,2012,330
1045,4,6,2012,1191
1047,0,0,2012,41988
1047,1,1,2012,10862
1047,1,2,2012,13057
1047,1,3,2012,11733
1047,1,4,2012,6336
1047,2,1,2012,19465
1047,2,2,2012,22523
1047,4,1,2012,12506
1047,4,2,2012,28524
1047,4,3,2012,392
1047,4,4,2012,192
1047,4,5,2012,81
1047,4,6,2012,293
1049,0,0,2012,69680
1049,1,1,2012,17605
1049,1,2,2012,23058
1049,1,3,2012,18492
1049,1,4,2012,10525
1049,2,1,2012,34336
1049,2,2,2012,35344
1049,4,1,2012,56611
1049,4,2,2012,1122
1049,4,3,2012,9607
1049,4,4,2012,227
1049,4,5,2012,862
1049,4,6,2012,1251
1051,0,0,2012,78826
1051,1,1,2012,18635
1051,1,2,2012,28195
1051,1,3,2012,21549
1051,1,4,2012,10447
1051,2,1,2012,38139
1051,2,2,2012,40687
1051,4,1,2012,58592
1051,4,2,2012,16133
1051,4,3,2012,2125
1051,4,4,2012,614
1051,4,5,2012,268
1051,4,6,2012,1094
1053,0,0,2012,37701
1053,1,1,2012,8429
1053,1,2,2012,13100
1053,1,3,2012,10202
1053,1,4,2012,5970
1053,2,1,2012,19443
1053,2,2,2012,18258
1053,4,1,2012,23217
1053,4,2,2012,11796
1053,4,3,2012,774
1053,4,4,2012,110
1053,4,5,2012,1244
1053,4,6,2012,560
1055,0,0,2012,102162
1055,1,1,2012,23278
1055,1,2,2012,32891
1055,1,3,2012,28912
1055,1,4,2012,17081
1055,2,1,2012,49394
1055,2,2,2012,52768
1055,4,1,2012,80805
1055,4,2,2012,15294
1055,4,3,2012,3626
1055,4,4,2012,743
1055,4,5,2012,361
1055,4,6,2012,1333
1057,0,0,2012,17143
1057,1,1,2012,3666
1057,1,2,2012,5437
1057,1,3,2012,4920
1057,1,4,2012,3120
1057,2,1,2012,8507
1057,2,2,2012,8636
1057,4,1,2012,14696
1057,4,2,2012,1914
1057,4,3,2012,250
1057,4,4,2012,49
1057,4,5,2012,57
1057,4,6,2012,177
1059,0,0,2012,31419
1059,1,1,2012,7741
1059,1,2,2012,10706
1059,1,3,2012,8054
1059,1,4,2012,4918
1059,2,1,2012,15658
1059,2,2,2012,15761
1059,4,1,2012,24946
1059,4,2,2012,1225
1059,4,3,2012,4702
1059,4,4,2012,73
1059,4,5,2012,129
1059,4,6,2012,344
1061,0,0,2012,26881
1061,1,1,2012,5911
1061,1,2,2012,8406
1061,1,3,2012,7627
1061,1,4,2012,4937
1061,2,1,2012,13127
1061,2,2,2012,13754
1061,4,1,2012,22712
1061,4,2,2012,2551
1061,4,3,2012,935
1061,4,4,2012,94
1061,4,5,2012,189
1061,4,6,2012,400
1063,0,0,2012,9161
1063,1,1,2012,2042
1063,1,2,2012,2918
1063,1,3,2012,2715
1063,1,4,2012,1486
1063,2,1,2012,4367
1063,2,2,2012,4794
1063,4,1,2012,2092
1063,4,2,2012,6881
1063,4,3,2012,101
1063,4,4,2012,17
1063,4,5,2012,15
1063,4,6,2012,55
1065,0,0,2012,15524
1065,1,1,2012,3601
1065,1,2,2012,4988
1065,1,3,2012,4420
1065,1,4,2012,2515
1065,2,1,2012,7411
1065,2,2,2012,8113
1065,4,1,2012,6582
1065,4,2,2012,8599
1065,4,3,2012,179
1065,4,4,2012,46
1065,4,5,2012,25
1065,4,6,2012,93
1067,0,0,2012,17416
1067,1,1,2012,3745
1067,1,2,2012,5348
1067,1,3,2012,4994
1067,1,4,2012,3329
1067,2,1,2012,8393
1067,2,2,2012,9023
1067,4,1,2012,12036
1067,4,2,2012,4612
1067,4,3,2012,422
1067,4,4,2012,109
1067,4,5,2012,60
1067,4,6,2012,177
1069,0,0,2012,101240
1069,1,1,2012,24604
1069,1,2,2012,33309
1069,1,3,2012,27585
1069,1,4,2012,15742
1069,2,1,2012,48495
1069,2,2,2012,52745
1069,4,1,2012,69118
1069,4,2,2012,26021
1069,4,3,2012,3259
1069,4,4,2012,914
1069,4,5,2012,409
1069,4,6,2012,1519
1071,0,0,2012,52327
1071,1,1,2012,11541
1071,1,2,2012,16233
1071,1,3,2012,15253
1071,1,4,2012,9300
1071,2,1,2012,25741
1071,2,2,2012,26586
1071,4,1,2012,47116
1071,4,2,2012,1692
1071,4,3,2012,1371
1071,4,4,2012,223
1071,4,5,2012,670
1071,4,6,2012,1255
1073,0,0,2012,641595
1073,1,1,2012,152655
1073,1,2,2012,223347
1073,1,3,2012,176026
1073,1,4,2012,89567
1073,2,1,2012,302936
1073,2,2,2012,338659
1073,4,1,2012,330543
1073,4,2,2012,269046
1073,4,3,2012,24594
1073,4,4,2012,9748
1073,4,5,2012,1457
1073,4,6,2012,6207
1075,0,0,2012,14508
1075,1,1,2012,3075
1075,1,2,2012,4523
1075,1,3,2012,4095
1075,1,4,2012,2815
1075,2,1,2012,7066
1075,2,2,2012,7442
1075,4,1,2012,12528
1075,4,2,2012,1537
1075,4,3,2012,208
1075,4,4,2012,17
1075,4,5,2012,30
1075,4,6,2012,188
1077,0,0,2012,90656
1077,1,1,2012,19784
1077,1,2,2012,29359
1077,1,3,2012,25271
1077,1,4,2012,16242
1077,2,1,2012,43371
1077,2,2,2012,47285
1077,4,1,2012,77364
1077,4,2,2012,8969
1077,4,3,2012,2100
1077,4,4,2012,719
1077,4,5,2012,350
1077,4,6,2012,1154
1079,0,0,2012,33488
1079,1,1,2012,7531
1079,1,2,2012,10729
1079,1,3,2012,9885
1079,1,4,2012,5343
1079,2,1,2012,16241
1079,2,2,2012,17247
1079,4,1,2012,25796
1079,4,2,2012,3736
1079,4,3,2012,657
1079,4,4,2012,70
1079,4,5,2012,1831
1079,4,6,2012,1398
1081,0,0,2012,143348
1081,1,1,2012,34301
1081,1,2,2012,62701
1081,1,3,2012,32141
1081,1,4,2012,14205
1081,2,1,2012,70820
1081,2,2,2012,72528
1081,4,1,2012,98910
1081,4,2,2012,32588
1081,4,3,2012,5286
1081,4,4,2012,4296
1081,4,5,2012,382
1081,4,6,2012,1886
1083,0,0,2012,85791
1083,1,1,2012,20381
1083,1,2,2012,29693
1083,1,3,2012,24288
1083,1,4,2012,11429
