ProviderId,Latitude,Longitude
'015150',31.048012,-85.891115
'015151',30.691979,-88.082072
'015152',31.211179,-85.390419
'015153',33.49566,-86.849498
'015154',33.707717,-87.823737
'015155',33.859867,-87.265412
'015156',34.454657,-85.715163
'015157',34.230007,-87.621337
'015158',32.631705,-87.310044
'015159',33.95199,-86.466166
'015160',33.167229,-86.267589
'015162',33.430528,-86.087924
'015163',34.281293,-86.194092
'015164',32.095297,-88.185669
'015166',32.83396,-85.759194
'015167',34.125111,-87.991205
'015168',30.684156,-88.078467
'015169',34.83637,-87.64906
'015171',32.136637,-85.687882
'015174',33.954671,-85.922042
'015175',31.219941,-85.434841
'015176',34.200468,-85.956088
'015177',32.500826,-87.835559
'015178',32.844744,-87.889307
'015179',32.483453,-85.028577
'015180',33.989468,-86.028612
'015182',31.639746,-86.736535
'015183',30.764506,-88.128187
'015184',34.66212,-86.049461
'015186',33.238719,-87.579001
'015187',32.952181,-87.573531
'015188',31.539784,-87.88583
'015189',33.595754,-86.310642
'015191',32.952419,-85.979197
'015192',32.638245,-85.401812
'015193',31.842384,-86.636694
'015194',33.908525,-85.608893
'015195',33.554715,-86.384118
'015196',32.857048,-85.19576
'015197',32.884336,-85.412365
'015199',31.888769,-85.158097
'015200',34.156586,-85.673673
'015201',34.450157,-88.146552
'015202',33.970308,-86.020619
'015203',33.984972,-86.107809
'015204',33.067394,-86.052701
'015206',34.569803,-87.008028
'015207',34.273686,-85.855946
'015208',31.472283,-85.633872
'015209',33.369325,-86.992071
'015210',31.293368,-86.255097
'015211',30.716862,-88.073531
'015212',33.458238,-86.992963
'015213',31.779017,-85.963219
'015214',34.685087,-86.751632
'015215',32.951367,-87.146934
'015216',31.428264,-85.646107
'015217',33.547235,-86.881945
'015220',31.931292,-87.736348
'015221',32.909983,-85.91943
'015222',30.521281,-87.90481
'015223',34.042751,-85.954822
'015225',34.318555,-86.311705
'015227',33.723473,-88.171487
'015228',32.317353,-86.238939
'015303',33.476068,-86.899149
'015315',33.852492,-87.282104
'015320',31.304289,-85.83779
'015321',33.406062,-86.808145
'015322',31.499204,-87.319172
'015326',33.239916,-87.579675
'015330',32.314114,-87.798188
'015331',32.498232,-85.03356
'015336',31.716312,-86.266231
'015361',34.912387,-87.528283
'015369',33.337626,-86.960735
'015371',33.228213,-87.56034
'015372',34.758244,-86.595048
'015373',31.554439,-85.253079
'015374',32.004993,-87.302716
'015375',33.661783,-85.749851
'015376',33.937692,-87.820898
'015378',34.316288,-86.31219
'015379',30.657823,-88.204854
'015381',30.667318,-87.914192
'015382',32.447316,-85.01955
'015383',34.151669,-86.853063
'015386',32.944916,-85.934313
'015388',33.5963,-86.664776
'015390',32.371427,-86.303503
'015391',33.809752,-85.765332
'015392',34.744027,-87.638304
'015393',32.386058,-86.28209
'015396',32.699659,-87.585068
'015397',34.717449,-86.63025
'015398',31.526462,-87.328941
'015400',33.552621,-86.319734
'015402',34.970155,-87.583498
'015403',30.692507,-88.118942
'015404',33.446754,-86.979029
'015406',30.500507,-88.332704
'015407',33.820524,-86.235104
'015408',33.888127,-87.522981
'015410',32.637991,-85.404903
'015411',33.251114,-86.811922
'015413',32.439932,-87.014543
'015414',32.885529,-85.407588
'015415',30.698571,-88.134046
'015416',31.282419,-86.497782
'015417',30.905552,-87.786446
'015419',31.102016,-85.679379
'015420',34.919711,-85.755807
'015422',33.964313,-86.456098
'015423',33.506565,-86.787371
'015424',33.141219,-85.383406
'015425',31.242318,-85.45514
'015426',30.686795,-88.13128
'015429',30.694419,-88.05175
'015431',34.755056,-86.749703
'015433',33.527401,-86.717099
'015434',30.626041,-88.136832
'015435',30.686794,-88.130574
'015436',32.38106,-86.246591
'015437',34.181126,-86.840689
'015440',34.678228,-86.578822
'015442',32.067091,-86.699022
'015443',30.563845,-87.705589
'015445',33.560546,-86.868962
'015446',33.506063,-86.782266
'015447',30.565644,-87.901374
'015448',34.587484,-86.454132
'015450',34.670126,-86.558285
'015451',31.000898,-86.310548
'015452',32.633201,-85.450585
'015453',33.194991,-86.591266
'015454',34.60781,-86.560917
'015455',33.465377,-86.769205
'015456',30.661351,-88.230213
'015457',33.542564,-86.63471
'015458',34.753569,-86.664731
'015459',33.365101,-86.81743
'015460',32.504392,-86.416899
'015461',33.489091,-86.956908
'015463',30.623905,-88.173729
'015642',33.41613,-86.690165
'01A193',32.351422,-86.327201
'01A208',32.424883,-86.285998
'025010',55.352784,-131.686295
'025015',56.330796,-132.287894
'025018',61.176464,-149.875592
'025019',56.706874,-133.085348
'025020',64.830445,-147.742214
'025021',60.493168,-151.082023
'025024',60.132412,-149.443335
'025025',61.224442,-149.717687
'025026',64.872342,-165.36665
'025027',58.329304,-134.464001
'025028',60.552162,-145.172684
'025030',57.800854,-152.373917
'025031',59.652103,-151.550293
'025032',57.058627,-135.344275
'025034',61.133261,-146.349974
'025035',66.895635,-162.589499
'025036',61.213025,-149.775404
'025037',60.786836,-161.808265
'035003',33.546542,-112.047588
'035004',32.242612,-110.886223
'035014',33.47547,-112.030218
'035016',32.248704,-110.884074
'035059',33.485644,-111.924014
'035062',33.480363,-112.024165
'035064',32.249072,-110.875314
'035068',32.241629,-110.874654
'035070',32.321991,-111.007499
'035071',33.408664,-111.689895
'035072',33.606782,-111.977981
'035073',31.872425,-110.994981
'035074',33.392997,-111.884102
'035076',33.486744,-111.921881
'035083',33.487336,-111.921776
'035084',33.463835,-111.900522
'035085',32.2257,-110.850999
'035086',31.547885,-110.278574
'035087',33.569654,-112.069541
'035088',33.505108,-112.051897
'035090',33.586667,-111.928414
'035091',35.184219,-111.665254
'035092',33.512452,-112.183946
'035093',34.737926,-112.027345
'035094',34.779595,-111.752973
'035095',33.298696,-111.8729
'035096',32.686939,-114.633255
'035097',35.109353,-114.551515
'035099',32.172592,-110.931998
