RegionType,RegionID,CatID,CatVal,Year,Population
2,1038,0,0,2012,46884
2,1038,1,1,2012,11272
2,1038,1,2,2012,15964
2,1038,1,3,2012,12707
2,1038,1,4,2012,6941
2,1038,2,1,2012,23274
2,1038,2,2,2012,23610
2,1038,4,1,2012,38924
2,1038,4,2,2012,747
2,1038,4,3,2012,6010
2,1038,4,4,2012,105
2,1038,4,5,2012,564
2,1038,4,6,2012,534
2,1039,0,0,2012,102865
2,1039,1,1,2012,23382
2,1039,1,2,2012,34959
2,1039,1,3,2012,28047
2,1039,1,4,2012,16477
2,1039,2,1,2012,49733
2,1039,2,2,2012,53132
2,1039,4,1,2012,78724
2,1039,4,2,2012,16388
2,1039,4,3,2012,5150
2,1039,4,4,2012,759
2,1039,4,5,2012,352
2,1039,4,6,2012,1492
2,1040,0,0,2012,14492
2,1040,1,1,2012,3178
2,1040,1,2,2012,4571
2,1040,1,3,2012,4202
2,1040,1,4,2012,2541
2,1040,2,1,2012,6750
2,1040,2,2,2012,7742
2,1040,4,1,2012,12656
2,1040,4,2,2012,1061
2,1040,4,3,2012,299
2,1040,4,4,2012,48
2,1040,4,5,2012,55
2,1040,4,6,2012,373
2,1044,0,0,2012,21729
2,1044,1,1,2012,5165
2,1044,1,2,2012,6869
2,1044,1,3,2012,6118
2,1044,1,4,2012,3577
2,1044,2,1,2012,10274
2,1044,2,2,2012,11455
2,1044,4,1,2012,12150
2,1044,4,2,2012,9009
2,1044,4,3,2012,203
2,1044,4,4,2012,183
2,1044,4,5,2012,36
2,1044,4,6,2012,148
2,1045,0,0,2012,5871
2,1045,1,1,2012,1045
2,1045,1,2,2012,1932
2,1045,1,3,2012,1773
2,1045,1,4,2012,1121
2,1045,2,1,2012,2775
2,1045,2,2,2012,3096
2,1045,4,1,2012,3373
2,1045,4,2,2012,2392
2,1045,4,3,2012,32
2,1045,4,4,2012,22
2,1045,4,5,2012,0
2,1045,4,6,2012,52
2,1046,0,0,2012,34274
2,1046,1,1,2012,7766
2,1046,1,2,2012,10325
2,1046,1,3,2012,10024
2,1046,1,4,2012,6159
2,1046,2,1,2012,16507
2,1046,2,2,2012,17767
2,1046,4,1,2012,31388
2,1046,4,2,2012,974
2,1046,4,3,2012,992
2,1046,4,4,2012,396
2,1046,4,5,2012,222
2,1046,4,6,2012,302
2,1047,0,0,2012,18900
2,1047,1,1,2012,4031
2,1047,1,2,2012,5965
2,1047,1,3,2012,5692
2,1047,1,4,2012,3212
2,1047,2,1,2012,9223
2,1047,2,2,2012,9677
2,1047,4,1,2012,17901
2,1047,4,2,2012,152
2,1047,4,3,2012,541
2,1047,4,4,2012,41
2,1047,4,5,2012,51
2,1047,4,6,2012,214
2,1048,0,0,2012,13583
2,1048,1,1,2012,3046
2,1048,1,2,2012,4779
2,1048,1,3,2012,3500
2,1048,1,4,2012,2258
2,1048,2,1,2012,6959
2,1048,2,2,2012,6624
2,1048,4,1,2012,12011
2,1048,4,2,2012,865
2,1048,4,3,2012,424
2,1048,4,4,2012,110
2,1048,4,5,2012,4
2,1048,4,6,2012,169
2,1049,0,0,2012,32287
2,1049,1,1,2012,8065
2,1049,1,2,2012,10967
2,1049,1,3,2012,8723
2,1049,1,4,2012,4532
2,1049,2,1,2012,16013
2,1049,2,2,2012,16274
2,1049,4,1,2012,30042
2,1049,4,2,2012,799
2,1049,4,3,2012,688
2,1049,4,4,2012,107
2,1049,4,5,2012,184
2,1049,4,6,2012,467
2,1051,0,0,2012,380566
2,1051,1,1,2012,91170
2,1051,1,2,2012,138044
2,1051,1,3,2012,104207
2,1051,1,4,2012,47145
2,1051,2,1,2012,187701
2,1051,2,2,2012,192865
2,1051,4,1,2012,261325
2,1051,4,2,2012,82282
2,1051,4,3,2012,16210
2,1051,4,4,2012,9084
2,1051,4,5,2012,2660
