MDCID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MeanCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MedianCost,MedianLOS
23 ,3,223900.3387,9302.883543,32923.49963,914.8589361,9356.909638,190.495686,9.819254402,0.205364163,24123,7141.82,8
23 ,4,111230.3447,5519.077621,53790.43854,1928.698068,13818.54232,497.5511581,10.80807148,0.306198212,36690,9658,8
24 ,0,83370.03369,4174.765035,122165.8765,3332.607299,33788.79779,769.1473071,8.876745923,0.122805077,77269,22050.857,6
24 ,1,12875.01737,1011.23225,125822.3179,8063.81745,32720.63516,1463.949071,9.438448673,0.276650196,74643,21014.384,6
24 ,2,16970.02831,1165.064018,95405.70782,3226.947761,30496.90937,876.6215945,7.973484219,0.179077923,63055,20429.07,6
24 ,3,35359.96586,3651.045294,114534.2469,4478.037242,31436.78852,830.8288735,9.076073513,0.211897356,76598,21401.77,6
24 ,4,18165.02215,1310.941086,160082.8003,10124.89848,42431.8112,2793.017914,8.934467617,0.290556675,96803,26474.275,6
25 ,0,54915.05286,1846.378114,65880.22688,1751.333484,17988.506,351.1069727,8.574333405,0.152342387,35188,10071.918,5
25 ,1,13655.0053,1070.541524,67644.90603,3841.467167,18029.33495,652.381521,8.789824197,0.207526984,35717,10315.026,5
25 ,2,6595.020303,512.6043705,50162.41008,2609.207023,16385.69431,899.7805243,7.165275891,0.234844223,28510,9365.272,5
25 ,3,26090.01024,1301.429005,59491.0081,1929.734295,16487.94734,410.7538621,8.609429352,0.169595231,33195,9654.147,6
25 ,4,8575.017011,553.6897042,95331.25237,5963.560684,23943.77419,1278.450538,9.209955708,0.71697885,49167,12468.024,5
0,0,36484846,290747.2558,36701.29284,449.3841396,10354.22442,99.00481365,4.510282303,0.016843519,19660,5952.947,3
0,1,6981645,128987.1362,38757.41161,1296.813648,10762.44845,227.0769435,4.935332828,0.040140121,20700,6377.468,3
0,2,8238220,139326.7186,30328.46381,572.3650367,10185.2547,183.1598935,4.338376031,0.034340158,17188,6004.22,3
0,3,14113101,184220.1503,34122.58502,594.7872865,9340.321203,146.4027795,4.545178548,0.027335433,18636,5395.782,3
0,4,7151880,120612.1351,47603.0969,1332.893905,12265.75195,278.6520394,4.224519491,0.0356987,24977,6748.56,3
