PRCCSID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MeanCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MedianCost,MedianLOS
207 ,4,385.000363,70.39673225,51013.25282,5161.194296,11748.53568,1186.393412,5.857143775,0.480238874,35734,9735.95,5
208 ,0,5095.001874,486.0976921,34701.5945,1761.590375,9738.053114,463.0210724,4.573111562,0.136638627,25031,7493.136,4
208 ,1,1899.999864,362.2267236,39387.9644,2561.681355,10316.78688,880.5710113,4.939475399,0.309137135,30555,7789.68,4
208 ,2,410.0014073,89.66776289,20483.09411,1500.62247,7559.399523,474.6789156,3.987805643,0.255141052,17702,6627.789,3
208 ,3,1244.999109,234.3338989,23779.28398,2107.608,8140.742727,444.789119,4.502008068,0.192031201,17590,6678.945,4
208 ,4,1540.001495,205.2561403,44552.99954,4173.12318,11424.41006,1108.415131,4.334416207,0.204932461,32403,8313.179,3
209 ,0,13075.00825,1104.762741,34097.52276,1470.69598,8745.465355,305.6828361,3.421796936,0.092451414,26407,6673.263,3
209 ,1,2400.002138,435.0869274,34683.54886,2181.594475,9494.732245,760.1449654,4.058331013,0.248956147,24726,6728.15,3
209 ,2,1224.992995,248.7278738,20171.09997,1195.345077,7280.956813,463.1895987,3.32653397,0.227401727,17422,5856.864,3
209 ,3,1830.001257,307.437126,24424.86245,2208.265467,7210.278131,303.8130003,3.866118097,0.22006732,18649,5936.436,3
209 ,4,7620.011859,935.316491,40319.21272,2270.40477,9267.340416,496.0757143,3.129921411,0.113625549,32354,7165.68,2
210 ,0,1104.997325,123.631822,52348.28296,4448.739047,14674.09302,1186.306966,5.936652375,0.409340527,36812,10642.365,4
210 ,1,299.9979417,66.73723666,55427.99096,7836.864625,14577.72779,1900.495959,7.15001015,0.75774682,48021,11550.6,6
210 ,2,129.9992889,37.21448764,40891.68231,7296.016461,14147.76423,2212.146383,6.884621605,1.358652583,26774,10642.365,5
210 ,3,325.0000234,72.810479,42729.21897,7853.933609,13078.95123,2527.482711,5.323073646,0.824867135,27618,8173.074,4
210 ,4,350.0000713,64.37922573,67794.26851,10338.50441,17237.72104,2488.681459,5.114289516,0.545491348,53212,14020.566,4
211 ,0,35339.99431,1388.108138,48276.42903,1103.67982,14061.89179,294.9872666,6.626768813,0.101746894,35025,10895.94,5
211 ,1,8649.99677,606.3567015,60420.11031,2789.318318,16557.14521,683.0779658,7.50693618,0.211974748,43613,12780.684,5
211 ,2,8840.005128,802.182357,43440.92773,1981.208154,13821.94914,396.8815456,6.333143279,0.199942258,35414,11674.628,5
211 ,3,13169.98765,901.1627439,38212.08681,1219.997443,11642.43202,505.6350478,6.406227723,0.161426216,28417,9008.12,4
211 ,4,4680.004762,321.8461258,63770.38908,3759.493729,16821.02324,982.2383814,6.175215807,0.26398028,42153,12145.652,4
212 ,0,9270.032025,1960.742401,48998.99336,5196.821425,14123.84247,1139.6452,9.916387123,0.927685739,35069,10376.832,7
212 ,1,0,0,49741.20382,8843.214172,14428.31828,1324.732628,11.45546207,0.589118071,37969,10975.608,9
212 ,2,0,0,20864.22597,2611.196355,7592.307172,1514.869982,4.916278769,0.574879918,17189,5780.525,4
212 ,3,1485.014989,439.0931741,29656.17919,3508.966995,10693.498,867.00848,9.181819685,1.269252526,25455,9192.246,8
212 ,4,3735.02119,1117.787152,64301.70104,6447.166867,17144.63731,1750.096458,10.4216543,1.795483628,50910,12584.163,7
213 ,0,131205.0481,9287.151181,45828.88292,1823.555075,13219.03239,468.1883235,11.59818824,0.269397642,33725,10093.53,10
213 ,1,44399.99103,5760.019917,54158.73925,3771.671366,15387.44659,935.838656,11.90596752,0.477874335,39531,11888.87,10
213 ,2,21864.90044,2615.120941,33531.24363,1878.734559,11500.55448,572.0290155,10.83078878,0.372473475,27025,9167.202,9
213 ,3,50935.1495,6377.824893,39491.06358,2373.200537,11151.83348,461.0441578,11.95758959,0.443240777,30842,8963.856,10
