PRCCSID,Region,Discharges,MeanLOS,MedianLOS,MeanCharges,MedianCharges,MeanCost,MedianCost,DischargesStdErr,MeanLOSStdErr,MeanChargesStdErr,MeanCostStdErr
107,4,1370,3.0,2.0,50191,41083,11360,9739,141,0.222,2613,475
108,0,62385,5.3,4.0,35528,24090,9377,7009,3659,0.125,1334,209
108,1,10310,5.5,4.0,34602,23252,10014,7708,1353,0.173,2301,444
108,2,13045,5.7,4.0,28384,21496,8450,6685,1351,0.490,1307,312
108,3,25655,5.0,4.0,30772,22136,7894,6125,2927,0.112,1792,183
108,4,13375,5.1,4.0,56465,37665,13451,9679,1078,0.133,3503,479
109,0,10280,5.0,3.0,50658,34175,13403,9593,351,0.195,2286,609
109,1,2195,4.5,3.0,52559,33270,14514,10151,168,0.351,7110,1962
109,2,2300,5.0,4.0,40051,29929,11782,8961,164,0.265,1877,580
109,3,3870,5.8,4.0,52262,34049,13225,8821,193,0.414,3980,1037
109,4,1915,3.9,2.0,58317,42984,14483,11767,175,0.310,3303,630
110,0,21765,7.8,6.0,65037,42712,17096,11719,652,0.117,1603,376
110,1,3920,7.9,6.0,71692,46665,17499,12817,259,0.290,3669,714
110,2,5135,7.4,6.0,55947,37732,16641,11549,309,0.214,2587,815
110,3,9110,8.4,6.0,62891,41528,16602,10982,455,0.185,2403,595
110,4,3600,6.9,5.0,76176,49315,18582,12849,235,0.297,4976,972
111,0,43095,4.8,3.0,36084,23433,9111,6436,865,0.078,669,136
111,1,9005,5.3,4.0,40913,25358,10199,7169,359,0.169,1726,318
111,2,9415,4.7,3.0,27652,19400,8380,6026,400,0.218,810,213
111,3,14150,5.1,3.0,34377,21735,8425,5944,434,0.122,1060,234
111,4,10525,4.2,3.0,42333,29377,9823,7088,520,0.119,1682,329
112,0,39720,6.6,5.0,80908,56310,21731,16026,1324,0.107,1929,403
112,1,7960,6.9,5.0,85070,54554,22414,16020,564,0.223,4274,1004
112,2,9785,6.3,5.0,70901,53950,21451,16474,760,0.227,2903,781
112,3,14490,6.8,5.0,77237,55020,20116,14966,803,0.171,2916,588
112,4,7485,6.0,4.0,97256,65065,24641,17347,462,0.249,6206,1059
113,0,23840,4.0,2.0,40617,28619,10042,7397,638,0.090,865,156
113,1,6325,4.0,2.0,38285,24429,10019,6984,412,0.217,1785,353
113,2,4880,4.0,2.0,33125,25860,9972,7855,233,0.166,1134,275
113,3,8665,4.5,2.0,43749,31348,9804,7150,360,0.144,1350,239
113,4,3970,3.0,2.0,47111,33730,10737,7975,230,0.155,2828,417
