PRCCSID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MedianCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MeanCost,MedianLOS
216,0,977334.7433,12279.60333,95339,1451.961809,14476,1451.961809,9.640318636,0.085439833,51488,25224,6
216,1,188570.0713,5175.775082,93360,3472.483068,14439,3472.483068,9.740818189,0.168163674,50076,24527,6
216,2,203359.9387,5873.547342,76062,2001.875421,14029,2001.875421,9.16250655,0.187289877,43584,23938,6
216,3,393959.9006,8313.451007,85341,2055.443662,13113,2055.443662,9.857896619,0.149038949,47996,22393,6
216,4,191444.8326,4515.305544,141749,4543.020379,18935,4543.020379,9.601101581,0.170838617,75721,33807,5
217,0,79929.85391,6259.045522,25747,1135.065578,5367,1135.065578,4.159576986,0.126802533,17000,7594,3
217,1,37009.96189,4609.017299,26032,1944.812766,4930,1944.812766,3.844634898,0.211391955,16748,7126,3
217,2,12244.96668,2374.789105,22323,2201.03158,5904,2201.03158,4.405877346,0.291898128,16144,8114,3
217,3,20874.93767,3098.988333,20324,953.8976498,5168,953.8976498,4.458447945,0.159375267,15081,6759,3
217,4,9799.987674,1639.895851,42604,2728.441004,7445,2728.441004,4.404591815,0.195810484,28612,10910,3
218,0,133589.4655,12720.74528,33639,2198.843455,5958,2198.843455,12.01900019,0.485568733,19063,10282,7
218,1,67379.9251,9018.881807,41363,3415.063953,7747,3415.063953,14.58945893,0.543439314,24121,12703,9
218,2,10274.9877,1759.276703,35637,3027.75132,8114,3027.75132,13.31143358,0.716000239,24995,11566,10
218,3,31009.74915,6076.227897,21556,1939.508169,3988,1939.508169,9.354112078,0.690521147,12716,6976,6
218,4,24924.80354,6360.937931,26269,3200.236141,3988,3200.236141,7.852510411,0.691677454,16224,7012,5
219,0,265449.7237,15029.77188,17311,539.0762762,3680,539.0762762,5.337085516,0.155010555,11357,5394,4
219,1,102299.8444,11896.86263,18197,1040.49921,4056,1040.49921,5.874531269,0.256487335,11589,5875,4
219,2,61600.00042,5302.636816,15156,659.5650991,3343,659.5650991,4.386766208,0.195700807,10503,5005,3
219,3,68534.93255,6388.688759,14221,751.1616151,3162,751.1616151,4.693731738,0.132334763,10239,4173,4
219,4,33014.94635,3927.518431,25314,2164.684219,4681,2164.684219,6.780409397,0.758128178,15855,7240,4
220,0,189119.7606,16645.62078,8152,454.9063443,1129,454.9063443,2.574767686,0.040246566,4008,2148,2
220,1,65489.98725,11853.96916,9849,773.2824675,1641,773.2824675,2.704076975,0.058612941,5763,2694,2
220,2,4384.983558,958.910854,0,0,0,0,2.984037899,0.43822369,0,0,2
220,3,74644.80359,9265.23367,5763,521.8738221,681,521.8738221,2.606805888,0.071493375,2733,1415,2
220,4,44599.98619,7056.631023,9773,1154.976569,1178,1154.976569,2.29103235,0.074340314,4804,2462,2
221,0,51669.98818,1370.879148,28773,541.6904649,6000,541.6904649,4.693342685,0.048396663,18759,8640,4
221,1,13730.01326,679.3396546,29427,1230.594697,6400,1230.594697,4.91296086,0.092557152,18697,8928,4
221,2,10170.00256,673.6706775,24764,960.2230465,5910,960.2230465,4.536873831,0.096703701,16753,8477,4
221,3,17405.00041,791.0817192,26065,769.029618,5211,769.029618,4.726228588,0.088311193,17730,7342,4
221,4,10364.97194,581.5193921,37578,1549.982019,7282,1549.982019,4.500727502,0.109834109,24611,10919,3
222,0,727929.5464,11063.30146,43575,651.1702646,7859,651.1702646,5.287096459,0.028072896,27258,11331,4
222,1,126214.9831,4255.178888,42770,1425.256343,8449,1425.256343,5.519787565,0.06503237,26736,11643,4
222,2,124669.9583,4477.467609,30419,637.6749826,7488,637.6749826,4.97401152,0.048763029,21285,10218,4
222,3,303614.7293,7398.12687,36732,618.2854726,6756,618.2854726,5.413286801,0.044890988,24098,9566,4
222,4,173429.8758,5432.319435,67854,1902.718126,10744,1902.718126,5.121880584,0.062274687,45862,15398,4
223,0,106030.0067,3454.281126,75264,2077.878101,12653,2077.878101,11.35392839,0.186219917,42584,20963,8
223,1,24330.02801,1640.39979,68897,3345.705379,11709,3345.705379,9.963826626,0.268934464,40374,18327,7
223,2,22689.97674,1655.15423,58841,2680.71634,11661,2680.71634,11.08462688,0.419589231,35745,19387,7
223,3,32814.99602,1820.289642,58178,2128.32414,10881,2128.32414,11.3036704,0.259993366,35752,17127,8
223,4,26195.00592,1785.541017,122057,6424.709903,19198,6424.709903,12.94305583,0.478312017,72427,30708,9
224,0,151169.7658,7997.131958,57073,1744.69033,9530,1744.69033,6.007145477,0.095258463,32150,16438,4
224,1,30850.00327,3018.995628,62182,3350.492125,9100,3350.492125,5.900486529,0.201725862,36206,16099,4
224,2,32189.97628,2904.456912,51457,2653.278187,9510,2653.278187,6.03898771,0.20929931,28906,16409,4
224,3,60129.79722,6431.251092,49074,2429.200122,8673,2429.200122,5.868286699,0.145522,28317,14938,4
224,4,27999.98898,2245.645648,76064,6381.811328,12131,6381.811328,6.386251994,0.252838742,41792,20292,4
225,0,99524.97893,1872.633224,36743,649.8300117,6238,649.8300117,4.098628252,0.037985676,21672,9650,3
225,1,19135.00698,815.7960339,35849,1416.286777,6622,1416.286777,4.049907074,0.076081109,22171,9453,3
225,2,26220.00141,1074.635908,26987,597.7271299,6043,597.7271299,3.883083615,0.057413448,18716,8460,3
225,3,39200.00075,1201.150096,34756,991.7820811,5580,991.7820811,4.255100864,0.065989549,20835,8751,3
225,4,14969.9698,493.5870086,60851,2661.296538,8480,2661.296538,4.128635431,0.122673113,32487,14528,3
226,0,71714.98292,3236.240497,40143,1419.064228,6813,1419.064228,3.785052667,0.067682999,26307,9796,3
226,1,9589.994926,2056.556475,33142,2403.960107,6379,2403.960107,4.232012077,0.222297134,22739,8897,3
226,2,5870.001546,327.2413283,32212,1101.822352,8051,1101.822352,5.015332029,0.170048066,24747,10172,4
226,3,10999.9975,580.680259,37539,1117.115585,7036,1117.115585,5.536365181,0.153402519,26132,9618,4
226,4,45254.98894,2408.225813,43359,2086.3057,6653,2086.3057,3.10507209,0.074282817,28049,9989,2
227,0,122839.9019,8720.392801,32812,1667.962535,6114,1667.962535,4.07501526,0.112059852,20778,9099,3
227,1,39759.97936,4043.451573,36250,2820.279173,6412,2820.279173,4.114055107,0.18365832,23571,9569,3
227,2,31144.97619,6199.821446,26278,3161.077464,5954,3161.077464,3.808636724,0.213173799,17926,8306,3
227,3,33304.98066,3719.783064,28957,1559.227757,5818,1559.227757,4.333884468,0.132980482,20222,8103,3
227,4,18629.96565,2724.18391,43406,6019.899213,6688,6019.899213,3.974236526,0.370244662,22412,11250,3
228,0,1039599.341,35291.91642,9959,357.0254059,1111,357.0254059,2.722977086,0.019841984,3794,2636,2
228,1,221619.9319,14159.57395,10720,550.7347488,1616,550.7347488,2.943461444,0.041068576,6104,2839,2
228,2,143034.9969,10393.48947,6766,300.9539358,1078,300.9539358,2.605026549,0.038366745,3378,2142,2
228,3,386795.0127,22361.62749,7092,271.2105495,837,271.2105495,2.72060043,0.032054352,2843,2028,2
228,4,288149.3993,20903.56004,15192,1150.06898,1162,1150.06898,2.615135553,0.042040085,4810,3616,2
229,0,9529.998679,305.9255896,36818,1756.92932,5874,1756.92932,3.892443368,0.199316181,21741,9605,2
229,1,1789.999897,114.9203521,39386,6177.929109,5927,6177.929109,4.918988561,0.839937276,19957,10075,2
