DRGID,CostToChargeRatio,Year
816,0.96704,2011
820,0.96491,2011
821,0.96491,2011
822,0.96315,2011
823,0.96491,2011
824,0.96491,2011
825,0.96491,2011
826,0.96491,2011
827,0.96491,2011
828,0.96491,2011
829,0.96491,2011
830,0.96491,2011
834,0.90571,2011
835,0.91758,2011
836,0.90771,2011
837,0.90348,2011
838,0.90535,2011
839,0.94748,2011
840,0.91724,2011
841,0.91098,2011
842,0.89257,2011
843,0.96491,2011
844,0.96491,2011
845,0.96491,2011
846,0.91149,2011
847,0.89636,2011
848,0.90916,2011
849,0.96491,2011
853,0.94871,2011
854,0.96427,2011
855,0.96491,2011
856,0.98303,2011
857,1.02471,2011
858,0.96491,2011
862,0.96795,2011
863,1.02199,2011
864,0.95325,2011
865,0.96491,2011
866,0.96959,2011
867,0.94038,2011
868,0.96491,2011
869,0.96491,2011
870,0.94533,2011
871,0.9717,2011
872,0.98104,2011
876,0.96491,2011
880,1.07413,2011
881,1.32663,2011
882,1.34426,2011
883,1.29514,2011
884,1.33784,2011
885,1.3619,2011
886,1.30539,2011
887,1.21435,2011
894,1.01123,2011
895,1.23984,2011
896,1.0168,2011
897,1.12047,2011
901,0.96491,2011
902,0.96491,2011
903,0.96491,2011
904,0.96491,2011
905,0.96491,2011
906,0.98858,2011
907,0.95911,2011
908,0.98007,2011
909,0.96822,2011
913,0.96491,2011
914,0.90104,2011
915,0.96491,2011
916,1.0303,2011
917,0.96458,2011
918,0.9927,2011
919,0.96718,2011
920,0.99112,2011
921,0.99979,2011
922,0.96491,2011
923,0.94182,2011
927,0.96491,2011
928,1.0399,2011
929,1.06487,2011
933,0.96491,2011
934,0.96491,2011
935,1.06079,2011
939,0.96491,2011
940,1.03454,2011
941,0.9901,2011
945,1.1557,2011
946,1.20614,2011
947,0.96564,2011
948,0.96699,2011
949,1.02118,2011
950,0.96491,2011
951,1.06979,2011
955,0.96491,2011
956,0.95134,2011
957,0.92789,2011
958,0.94015,2011
959,0.96491,2011
963,0.91399,2011
964,0.91757,2011
965,0.87733,2011
969,0.96491,2011
970,0.96491,2011
974,0.93083,2011
975,0.93332,2011
976,0.9186,2011
977,0.92495,2011
981,0.96314,2011
982,0.96902,2011
983,0.94869,2011
984,0.96491,2011
985,0.96491,2011
986,0.96491,2011
987,0.9763,2011
988,0.97221,2011
989,0.96421,2011
998,0.96491,2011
999,0.96491,2011
